Category,Subject,Stock Response
Registration,Your registration plan is approved and your hold is cleared,"Good afternoon,

Received, thanks for sending your plan. Your list of classes looks good and your advising hold is cleared. I’ve attached your updated curriculum guide and a flyer on how to find your registration time. You’re all set for registration.

Best,
Haley"
Registration,How to find your registration time,"Good afternoon,

You can find your registration time in Banner. Use this page for date ranges: https://www.slu.edu/registrar/register/registration-dates.php. If anything looks off, send me a screenshot of your time ticket.



Best,
Haley"
Registration,What to do if a class is full (waitlist steps),"Good afternoon,

If a class is full, add yourself to the waitlist in Banner. Keep your schedule flexible so the system can auto-enroll you when a seat opens. If there’s no waitlist, email the department to ask about capacity and let me know the CRN so I can advise next steps.



Best,
Haley"
Prerequisites,Requesting a prerequisite override,"Good afternoon,

If you meet the intent of the prerequisite or have transfer credit in progress, email the department scheduler or course instructor with your request. Include your name, Banner ID, course/CRN, and a one‑sentence rationale. CC me and I’ll add context if helpful.



Best,
Haley"
Degree Audit,How to read DegreeWorks and plan remaining credits,"Good afternoon,

Open DegreeWorks, expand each block, and focus on sections still marked as unmet. Use https://courses.slu.edu/ to confirm course details and sequences. Send me a screenshot if any block looks incorrect and I’ll review.



Best,
Haley"
Transfer Credit,Next steps for evaluating transfer credit (Transferology + Form 7),"Good afternoon,

Thanks for sending this over. Please include a screenshot of Transferology and upload it to my Form 7 DocuSign (link in my signature). Once that’s submitted I can route it to the Dean for processing.



Best,
Haley"
Transfer Credit,Official transcript needed for transfer posting,"Good afternoon,

The Registrar needs your official transcript before transfer credits can post. If you’ve already sent it, follow up with Registrar to confirm receipt so your record can update smoothly.



Best,
Haley"
Policies,Which catalog year applies to you,"Good afternoon,

Your catalog year is typically the term you started at SLU unless you opted into a newer catalog. Policy details are at https://www.slu.edu/provost/policies/index.php. If you think a newer catalog benefits you, I can review the trade‑offs and next steps.



Best,
Haley"
Withdrawal,How to withdraw from a course,"Good afternoon,

To withdraw, go to Banner > Registration Changes > Register for Classes. Find the course in the bottom-right panel and choose **Withdraw**. Check how this affects your credit load, financial aid, and Dean’s List before submitting. If you stay at 12+ credits, you remain full‑time.



Best,
Haley"
Academic Standing,Academic standing and next steps,"Good afternoon,

If you’ve been notified about academic standing, review the policy at https://www.slu.edu/provost/policies/index.php. I recommend we schedule 20 minutes to map a recovery plan (course mix, supports, and checkpoints).



Best,
Haley"
Recognition,Dean’s List overview,"Good afternoon,

Dean’s List criteria are published each term by the college. If you’re aiming for it this semester, keep an eye on credit minimums and GPA thresholds in https://www.slu.edu/provost/policies/index.php. I’m happy to review your plan.



Best,
Haley"
Study Abroad,Study abroad: where to start,"Good afternoon,

Start with SLU’s study abroad overview: https://www.slu.edu/study-abroad/index.php. After you identify a program and term, we’ll map how courses fit your degree plan and what approvals you need.



Best,
Haley"
Scheduling,Rescheduling our appointment,"Good afternoon,

No worries about the missed appointment. Send a few windows that work this week and I’ll confirm one. If it’s a quick question, email works too.



Best,
Haley"
Freshman Check-In,Quick check-in and resources,"Good afternoon,

I wanted to quickly check in and make sure you’re settled. If anything is off with classes, workload, or logistics, reply with one line and I’ll point you to the right resource (tutoring, Writing Center, SI, Student Success Center, CADR).



Best,
Haley"
Survey Response,Follow-up on your Canvas Course Survey,"Good afternoon,

I reviewed your Canvas Course Survey responses and wanted to follow up. You indicated that [insert xyz].

[insert solution to problem]

Thank you for reaching out and I look forward to working together in the fall!

Best,
Haley Mierzejewski"
Advising Materials,Curriculum guide attached,"Good afternoon,

I’ve attached your updated curriculum guide along with the quick reference flyer on finding your registration time. Use these as your source of truth when you register.



Best,
Haley"
Policies,FERPA reminder,"Good afternoon,

For privacy, I can only discuss your record directly with you unless there’s a FERPA release on file. If you want a parent or third party looped in, let me know and I’ll share the steps.



Best,
Haley"
Recommendations,Regarding a letter of recommendation,"Good afternoon,

Thank you for thinking of me. I want your application to be as strong as possible, so I recommend requesting a letter from someone who can speak in detail about your work in the classroom or lab this year. If helpful, I can suggest who to ask and what to provide them.



Best,
Haley"
Honors,Honors contract steps,"Good afternoon,

To contract a course for Honors, connect with your instructor early in the term and submit the contract by the deadline. If the deadline has passed, email the Honors Program with your plan and copy me so we can explore options.



Best,
Haley"
Records,How to declare a minor,"Good afternoon,

You can declare a minor through the department offering it. After you confirm the requirements in the catalog (https://courses.slu.edu/), email the department to start the form. I can help map which credits you already have.



Best,
Haley"
Graduation,Applying to graduate,"Good afternoon,

Check the Registrar’s graduation timelines and submit your application by the posted deadline. Once you apply, I’ll complete the audit on my end and confirm anything outstanding.



Best,
Haley"
OCS 1000,Bring your laptop to OCS 1000 session,"Good afternoon,

Reminder to bring your laptop to OCS 1000 so we can walk through DegreeWorks and registration tools live. I’ll also share printed curriculum guides.



Best,
Haley"
Introduction,Welcome and how advising works,"Good afternoon,

I’m your academic advisor for this year. Email is the fastest way to reach me for quick questions; otherwise send a couple of meeting windows. I’ll help with course planning, policies, and connecting you to campus resources.



Best,
Haley"
Planning,Sanity check on course load,"Good afternoon,

If you want a quick gut check on your semester load, send me your draft schedule with credit totals and any work/commute details. I’ll flag any red‑flags and options.



Best,
Haley"
Program Resources,Program handbooks and key links,"Good afternoon,

Here are the current program handbooks and SLU links you’ll reference most:
• OT Handbook: https://www.slu.edu/doisy/degrees/-pdf/bsos-handbook.pdf
• PT Handbook: https://www.slu.edu/doisy/degrees/-pdf/pt-student-handbook-class-2025.pdf
• AT Handbook: https://www.slu.edu/doisy/degrees/-pdf/at-handbook-0818.pdf
• Academic policies: https://www.slu.edu/provost/policies/index.php
• Registration dates: https://www.slu.edu/registrar/register/registration-dates.php
• Course catalog: https://courses.slu.edu/



Best,
Haley"
